ID Degree,Degree,ID Year,Year,Completions,Geography,ID Geography,Slug Geography
2,1 to 2 Year Postsecondary Certificate,2021,2021,460,"Boston, MA",16000US2507000,boston-ma
3,Associates Degree,2021,2021,1689,"Boston, MA",16000US2507000,boston-ma
4,2 to 4 Year Postsecondary Certificate,2021,2021,121,"Boston, MA",16000US2507000,boston-ma
5,Bachelors Degree,2021,2021,20351,"Boston, MA",16000US2507000,boston-ma
6,Postbaccalaureate Certificate,2021,2021,300,"Boston, MA",16000US2507000,boston-ma
7,Masters Degree,2021,2021,16986,"Boston, MA",16000US2507000,boston-ma
8,Post-Masters Certificate,2021,2021,229,"Boston, MA",16000US2507000,boston-ma
17,Research Doctorate,2021,2021,849,"Boston, MA",16000US2507000,boston-ma
18,Professional Doctorate,2021,2021,2541,"Boston, MA",16000US2507000,boston-ma
19,Other Doctorate,2021,2021,168,"Boston, MA",16000US2507000,boston-ma
2,1 to 2 Year Postsecondary Certificate,2020,2020,471,"Boston, MA",16000US2507000,boston-ma
3,Associates Degree,2020,2020,1765,"Boston, MA",16000US2507000,boston-ma
4,2 to 4 Year Postsecondary Certificate,2020,2020,33,"Boston, MA",16000US2507000,boston-ma
5,Bachelors Degree,2020,2020,20438,"Boston, MA",16000US2507000,boston-ma
6,Postbaccalaureate Certificate,2020,2020,321,"Boston, MA",16000US2507000,boston-ma
7,Masters Degree,2020,2020,17474,"Boston, MA",16000US2507000,boston-ma
8,Post-Masters Certificate,2020,2020,213,"Boston, MA",16000US2507000,boston-ma
17,Research Doctorate,2020,2020,882,"Boston, MA",16000US2507000,boston-ma
18,Professional Doctorate,2020,2020,2581,"Boston, MA",16000US2507000,boston-ma
19,Other Doctorate,2020,2020,260,"Boston, MA",16000US2507000,boston-ma
1,< 1 Year Postsecondary Certificate,2019,2019,829,"Boston, MA",16000US2507000,boston-ma
2,1 to 2 Year Postsecondary Certificate,2019,2019,592,"Boston, MA",16000US2507000,boston-ma
3,Associates Degree,2019,2019,1895,"Boston, MA",16000US2507000,boston-ma
4,2 to 4 Year Postsecondary Certificate,2019,2019,61,"Boston, MA",16000US2507000,boston-ma
5,Bachelors Degree,2019,2019,19882,"Boston, MA",16000US2507000,boston-ma
6,Postbaccalaureate Certificate,2019,2019,331,"Boston, MA",16000US2507000,boston-ma
7,Masters Degree,2019,2019,16409,"Boston, MA",16000US2507000,boston-ma
8,Post-Masters Certificate,2019,2019,235,"Boston, MA",16000US2507000,boston-ma
17,Research Doctorate,2019,2019,832,"Boston, MA",16000US2507000,boston-ma
18,Professional Doctorate,2019,2019,2600,"Boston, MA",16000US2507000,boston-ma
19,Other Doctorate,2019,2019,275,"Boston, MA",16000US2507000,boston-ma
1,< 1 Year Postsecondary Certificate,2018,2018,837,"Boston, MA",16000US2507000,boston-ma
2,1 to 2 Year Postsecondary Certificate,2018,2018,624,"Boston, MA",16000US2507000,boston-ma
3,Associates Degree,2018,2018,1880,"Boston, MA",16000US2507000,boston-ma
4,2 to 4 Year Postsecondary Certificate,2018,2018,89,"Boston, MA",16000US2507000,boston-ma
5,Bachelors Degree,2018,2018,19927,"Boston, MA",16000US2507000,boston-ma
6,Postbaccalaureate Certificate,2018,2018,333,"Boston, MA",16000US2507000,boston-ma
7,Masters Degree,2018,2018,16497,"Boston, MA",16000US2507000,boston-ma
8,Post-Masters Certificate,2018,2018,256,"Boston, MA",16000US2507000,boston-ma
17,Research Doctorate,2018,2018,852,"Boston, MA",16000US2507000,boston-ma
18,Professional Doctorate,2018,2018,2583,"Boston, MA",16000US2507000,boston-ma
19,Other Doctorate,2018,2018,230,"Boston, MA",16000US2507000,boston-ma
1,< 1 Year Postsecondary Certificate,2017,2017,819,"Boston, MA",16000US2507000,boston-ma
2,1 to 2 Year Postsecondary Certificate,2017,2017,535,"Boston, MA",16000US2507000,boston-ma
3,Associates Degree,2017,2017,2057,"Boston, MA",16000US2507000,boston-ma
4,2 to 4 Year Postsecondary Certificate,2017,2017,127,"Boston, MA",16000US2507000,boston-ma
5,Bachelors Degree,2017,2017,19899,"Boston, MA",16000US2507000,boston-ma
6,Postbaccalaureate Certificate,2017,2017,446,"Boston, MA",16000US2507000,boston-ma
7,Masters Degree,2017,2017,14723,"Boston, MA",16000US2507000,boston-ma
8,Post-Masters Certificate,2017,2017,281,"Boston, MA",16000US2507000,boston-ma
17,Research Doctorate,2017,2017,861,"Boston, MA",16000US2507000,boston-ma
18,Professional Doctorate,2017,2017,2484,"Boston, MA",16000US2507000,boston-ma
19,Other Doctorate,2017,2017,198,"Boston, MA",16000US2507000,boston-ma